id|alt|mime_type
img-0.jpeg|Aspiradora inalámbrica Dyson Outsize con tubo de extensión y cabezal de limpieza.|image/jpeg
img-1.jpeg|Cuerpo principal de la aspiradora.|image/jpeg
img-2.jpeg|Cepillo High Torque XL: cepillo extra ancho de 12 pulgadas equipado con sistema Dyson DLS™ (Dynamic Load Sensor).|image/jpeg
img-3.jpeg|Cepillo High Torque XL extra ancho de 12 pulgadas, equipado con el sistema Dyson DLS™ (Dynamic Load Sensor) para ajustar automáticamente la potencia según el tipo de suelo.|image/jpeg
img-4.jpeg|Base de carga fijada a la pared para almacenar y cargar la aspiradora.|image/jpeg
img-5.jpeg|Cable de alimentación con conector de carga y transformador.|image/jpeg
img-6.jpeg|Batería intercambiable adicional.|image/jpeg
img-7.jpeg|Cable de carga diseñado para conectar la aspiradora directamente a la corriente.|image/jpeg
img-8.jpeg|Accesorio con motor para pelo y espacios pequeños que recoge el cabello en espiral para depositarlo en el cubo.|image/jpeg
img-9.jpeg|Accesorio multifunción: cepillo y boquilla para colchones.|image/jpeg
img-10.jpeg|Rinconera diseñada para una limpieza precisa en esquinas y espacios estrechos.|image/jpeg
img-11.jpeg|Accesorio multifunción: cabezal combinable que integra un cepillo y una herramienta para colchones, permitiendo alternar rápidamente entre ambos modos de limpieza.|image/jpeg
img-12.jpeg|Accesorio multifunción con cerdas rígidas de nailon, diseñado para eliminar la suciedad incrustada en alfombras gruesas, zonas de mucho tránsito e interiores de vehículos.|image/jpeg
img-13.jpeg|Accesorio para rincones con luces LED integradas para limpiar zonas oscuras y estrechas.|image/jpeg
img-14.jpeg|Cabezal limpiador diseñado con suave nailon trenzado y fibra de carbono para eliminar el polvo fino en suelos duros, previniendo la acumulación de electricidad estática.|image/jpeg
img-15.jpeg|Manguera extensible que añade hasta 61 cm de alcance flexible para limpiar zonas de difícil acceso, tanto en el hogar como en el interior de coches.|image/jpeg
img-16.jpeg|Accesorio de succión diseñado para limpiar rincones y zonas estrechas, que se alarga y se dobla para alcanzar espacios difíciles tanto en el hogar como en el coche.|image/jpeg
img-17.jpeg|Accesorio que se extiende y se dobla para alcanzar y limpiar los rincones más complicados del hogar y el coche.|image/jpeg
img-18.jpeg|Conecta el cabezal de limpieza al tubo y el tubo a la unidad principal hasta que encajen con un clic. El número de serie para el registro de la máquina se encuentra en la base de la empuñadura.|image/jpeg
img-19.jpeg|Inserta el cabezal de limpieza directamente en el cuerpo principal de la aspiradora hasta escuchar un clic de acople.|image/jpeg
img-20.jpeg|Pulsa el botón para cambiar el modo de potencia.|image/jpeg
img-21.jpeg|Modo de potencia que ofrece la máxima autonomía para limpiezas prolongadas en todo el hogar.|image/jpeg
img-22.jpeg|Modo automático: ajusta la potencia según el tipo de suelo para equilibrar el rendimiento y la autonomía de la batería.|image/jpeg
img-23.jpeg|Modo automático o equilibrado, que ofrece un balance ideal entre potencia y autonomía, activándose automáticamente al utilizar el cepillo High Torque XL para ajustar la velocidad del motor según el tipo de suelo.|image/jpeg
img-24.jpeg|Modo Boost para una limpieza intensiva de la suciedad incrustada en los rincones del hogar.|image/jpeg
